Año;Establecimiento;Nivel;Grado;Matriculados;Desertores
2023;INSTITUCION EDUCATIVA NORMAL SUPERIOR DE SINCELEJO;01 PREESCOLAR;00 TRANSICIÓN;172;9
2023;INSTITUCION EDUCATIVA NORMAL SUPERIOR DE SINCELEJO;02 PRIMARIA;01 PRIMERO;217;11
2023;INSTITUCION EDUCATIVA NORMAL SUPERIOR DE SINCELEJO;02 PRIMARIA;02 SEGUNDO;241;12
2023;INSTITUCION EDUCATIVA NORMAL SUPERIOR DE SINCELEJO;02 PRIMARIA;03 TERCERO;236;12
2023;INSTITUCION EDUCATIVA NORMAL SUPERIOR DE SINCELEJO;02 PRIMARIA;04 CUARTO;224;11
2023;INSTITUCION EDUCATIVA NORMAL SUPERIOR DE SINCELEJO;02 PRIMARIA;05 QUINTO;248;12
2023;INSTITUCION EDUCATIVA NORMAL SUPERIOR DE SINCELEJO;03 SECUNDARIA;06 SEXTO;317;16
2023;INSTITUCION EDUCATIVA NORMAL SUPERIOR DE SINCELEJO;03 SECUNDARIA;07 SÉPTIMO;299;15
2023;INSTITUCION EDUCATIVA NORMAL SUPERIOR DE SINCELEJO;03 SECUNDARIA;08 OCTAVO;309;15
2023;INSTITUCION EDUCATIVA NORMAL SUPERIOR DE SINCELEJO;03 SECUNDARIA;09 NOVENO;290;15
2023;INSTITUCION EDUCATIVA NORMAL SUPERIOR DE SINCELEJO;04 MEDIA;10 DÉCIMO;324;16
2023;INSTITUCION EDUCATIVA NORMAL SUPERIOR DE SINCELEJO;04 MEDIA;11 ONCE;304;15
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DE  FATIMA;01 PREESCOLAR;00 TRANSICIÓN;15;1
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DE  FATIMA;02 PRIMARIA;01 PRIMERO;28;1
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DE  FATIMA;02 PRIMARIA;02 SEGUNDO;27;1
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DE  FATIMA;02 PRIMARIA;03 TERCERO;34;2
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DE  FATIMA;02 PRIMARIA;04 CUARTO;36;2
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DE  FATIMA;02 PRIMARIA;05 QUINTO;23;1
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DE  FATIMA;03 SECUNDARIA;06 SEXTO;29;1
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DE  FATIMA;03 SECUNDARIA;07 SÉPTIMO;37;2
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DE  FATIMA;03 SECUNDARIA;08 OCTAVO;36;2
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DE  FATIMA;03 SECUNDARIA;09 NOVENO;39;2
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DE  FATIMA;04 MEDIA;10 DÉCIMO;23;1
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DE  FATIMA;04 MEDIA;11 ONCE;23;1
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN;01 PREESCOLAR;00 TRANSICIÓN;43;2
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN;02 PRIMARIA;01 PRIMERO;55;3
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN;02 PRIMARIA;02 SEGUNDO;53;3
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN;02 PRIMARIA;03 TERCERO;56;3
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN;02 PRIMARIA;04 CUARTO;45;2
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN;02 PRIMARIA;05 QUINTO;59;3
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN;03 SECUNDARIA;06 SEXTO;80;4
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN;03 SECUNDARIA;07 SÉPTIMO;91;5
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN;03 SECUNDARIA;08 OCTAVO;94;5
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN;03 SECUNDARIA;09 NOVENO;97;5
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN;04 MEDIA;10 DÉCIMO;89;4
2023;INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN;04 MEDIA;11 ONCE;77;4
2023;INSTITUCION EDUCATIVA NUEVA ESPERANZA;01 PREESCOLAR;00 TRANSICIÓN;90;5
2023;INSTITUCION EDUCATIVA NUEVA ESPERANZA;02 PRIMARIA;01 PRIMERO;142;7
2023;INSTITUCION EDUCATIVA NUEVA ESPERANZA;02 PRIMARIA;02 SEGUNDO;151;8
2023;INSTITUCION EDUCATIVA NUEVA ESPERANZA;02 PRIMARIA;03 TERCERO;132;7
2023;INSTITUCION EDUCATIVA NUEVA ESPERANZA;02 PRIMARIA;04 CUARTO;177;9
2023;INSTITUCION EDUCATIVA NUEVA ESPERANZA;02 PRIMARIA;05 QUINTO;167;8
2023;INSTITUCION EDUCATIVA NUEVA ESPERANZA;03 SECUNDARIA;06 SEXTO;184;9
2023;INSTITUCION EDUCATIVA NUEVA ESPERANZA;03 SECUNDARIA;07 SÉPTIMO;180;9
2023;INSTITUCION EDUCATIVA NUEVA ESPERANZA;03 SECUNDARIA;08 OCTAVO;151;8
2023;INSTITUCION EDUCATIVA NUEVA ESPERANZA;03 SECUNDARIA;09 NOVENO;127;6
2023;INSTITUCION EDUCATIVA NUEVA ESPERANZA;04 MEDIA;10 DÉCIMO;109;5
2023;INSTITUCION EDUCATIVA NUEVA ESPERANZA;04 MEDIA;11 ONCE;78;4
2023;INSTITUCION EDUCATIVA PARA POBLACIONES ESPECIALES;01 PREESCOLAR;00 TRANSICIÓN;82;4
2023;INSTITUCION EDUCATIVA PARA POBLACIONES ESPECIALES;02 PRIMARIA;01 PRIMERO;154;8
2023;INSTITUCION EDUCATIVA PARA POBLACIONES ESPECIALES;02 PRIMARIA;02 SEGUNDO;145;7
2023;INSTITUCION EDUCATIVA PARA POBLACIONES ESPECIALES;02 PRIMARIA;03 TERCERO;140;7
2023;INSTITUCION EDUCATIVA PARA POBLACIONES ESPECIALES;02 PRIMARIA;04 CUARTO;128;6
2023;INSTITUCION EDUCATIVA PARA POBLACIONES ESPECIALES;02 PRIMARIA;05 QUINTO;118;6
2023;INSTITUCION EDUCATIVA PARA POBLACIONES ESPECIALES;03 SECUNDARIA;06 SEXTO;140;7
2023;INSTITUCION EDUCATIVA PARA POBLACIONES ESPECIALES;03 SECUNDARIA;07 SÉPTIMO;122;6
2023;INSTITUCION EDUCATIVA PARA POBLACIONES ESPECIALES;03 SECUNDARIA;08 OCTAVO;152;8
2023;INSTITUCION EDUCATIVA PARA POBLACIONES ESPECIALES;03 SECUNDARIA;09 NOVENO;89;4
2023;INSTITUCION EDUCATIVA PARA POBLACIONES ESPECIALES;04 MEDIA;10 DÉCIMO;115;6
2023;INSTITUCION EDUCATIVA PARA POBLACIONES ESPECIALES;04 MEDIA;11 ONCE;93;5
2023;INSTITUCION EDUCATIVA POLICARPA SALAVARRIETA;01 PREESCOLAR;00 TRANSICIÓN;167;8
2023;INSTITUCION EDUCATIVA POLICARPA SALAVARRIETA;02 PRIMARIA;01 PRIMERO;183;9
2023;INSTITUCION EDUCATIVA POLICARPA SALAVARRIETA;02 PRIMARIA;02 SEGUNDO;196;10
